address,school_name,school_type,school_year
"133 W Mendenhall, Bozeman, MT 59715",Academy of Cosmetology Inc,Private for-profit,2-year
"1975 Palm Bay Rd. #106, Palm Bay, FL 32905",Academy of Cosmetology-Palm Bay,Private for-profit,< 2-year
"235 4th Ave, Pittsburgh, PA 15222",Academy of Court Reporting Inc-Pittsburgh,Private for-profit,2-year
"2930 W Market, Akron, OH 44313",Academy of Court Reporting-Akron,Private for-profit,2-year
"630 Main St, Cincinnati, OH 45202",Academy of Court Reporting-Cincinnati,Private for-profit,2-year
"1055 West Maple Road, Clawson, MI 48017",Academy of Court Reporting-Clawson,Private for-profit,2-year
"2044 Euclid Avenue, Cleveland, OH 44115",Academy of Court Reporting-Cleveland,Private for-profit,2-year
"630 E Broad St, Columbus, OH 43215",Academy of Court Reporting-Columbus,Private for-profit,2-year
"125 N Wilkes Barre Blvd, Wilkes Barre, PA 18702",Academy of Creative Hair Design,Private for-profit,< 2-year
"1057A North Church Street, Hazleton, PA 18201",Academy of Hair Design,Private for-profit,< 2-year
"208 S Wenatchee Ave, Wenatchee, WA 98801",Academy of Hair Design,Private for-profit,2-year
"3141 College\nSuite A-10, Beaumont, TX 77701",Academy of Hair Design,Private for-profit,< 2-year
"348 Spring Hill St, Jasper, TX 75951",Academy of Hair Design,Private for-profit,< 2-year
"512 S Chestnut, Lufkin, TX 75904",Academy of Hair Design,Private for-profit,< 2-year
"5191 W. Charleston\n#150, Las Vegas, NV 89146",Academy of Hair Design,Private for-profit,2-year
"3167 Hwy 80 E, Pearl, MS 39208",Academy of Hair Design Four,Private for-profit,2-year
"115 S Fifth St, Salina, KS 67401",Academy of Hair Design Inc,Private for-profit,< 2-year
"305 Court NE, Salem, OR 97301",Academy of Hair Design Inc,Private for-profit,2-year
"2003-B S Commerce, Grenada, MS 38901",Academy of Hair Design One,Private for-profit,2-year
"1815 Terry Rd, Jackson, MS 39204",Academy of Hair Design Three,Private for-profit,2-year
"13266 Poway Rd, Poway, CA 92064",Academy of Hair Design-Poway,Private for-profit,2-year
"3715 E North St Ste F, Greenville, SC 29615",Academy of Hair Technology,Private for-profit,< 2-year
"710 S Tonopah Dr, Las Vegas, NV 89106",Academy of Healing Arts,Private for-profit,< 2-year
,Academy of Healing Arts Massage & Facial Skin Care,Private for-profit,< 2-year
"6505 Airport Blvd\nSuite 102, Austin, TX 78752",Academy of Health Care Professions,Private for-profit,2-year
"321 Main Street\n2nd Floor, Hackensack, NJ 07601",Academy of Massage Therapy,Private for-profit,< 2-year
"928 Broadwater Ave\nSuite B, Billings, MT 59101",Academy of Nail Skin and Hair Inc,Private for-profit,2-year
"625 8th Ave, Greeley, CO 80631",Academy of Natural Therapy,Private for-profit,< 2-year
"2700 W Anderson Ln Ste 204, Austin, TX 78757",Academy of Oriental Medicine,Private for-profit,4-year
"1920 Spruce St, Philadelphia, PA 19103",Academy of Vocal Arts,Private not-for-profit,4-year
,ACCIS,,
"109-19 72nd Road\nSTE # 4F, Forest Hills, NY 11375",Ace Computer Training Center,Private for-profit,< 2-year
"1100 Wilson Blvd\nSuite M780, Arlington, VA 22209",ACT College,Private for-profit,2-year
"2550 Shattuck Ave, Berkeley, CA 94704",Acupuncture and Integrative Medicine College-Berkeley,Private not-for-profit,4-year
"10506 N Kendall Drive, Miami, FL 33176",Acupuncture and Massage College,Private for-profit,4-year
"208 Edgemont Blvd, Alamosa, CO 81102",Adams State College,Public,4-year
"14547 Titus\nSuite 100, Van Nuys, CA 91402",Adelante Career Institute,Private for-profit,< 2-year
"South Ave, Garden City, NY 11530",Adelphi University,Private not-for-profit,4-year
"108 Dix Ave, Glens Falls, NY 12801",Adirondack Beauty School,Private for-profit,< 2-year
"640 Bay Rd, Queensbury, NY 12804",Adirondack Community College,Public,2-year
"1550 East 78th Street, Richfield, MN 55423",Adler Graduate School,Private not-for-profit,4-year
"65 East Wacker Place\nSuite 2100, Chicago, IL 60601",Adler School of Professional Psychology,Private not-for-profit,4-year
"110 S Madison St, Adrian, MI 49221",Adrian College,Private not-for-profit,4-year
,Adult & Continuing Education-BCTS,Public,< 2-year
"2323 Lexington Avenue, Columbus, OH 43211",Adult and Community Education-Hudson,Public,< 2-year
"400 Richards Rd, Zanesville, OH 43701",Adult Center for Education,Public,< 2-year
"10121 Westminster Ave, Garden Grove, CA 92643",Advance Beauty College,Private for-profit,< 2-year
"3750 W 12 Ave, Hialeah, FL 33012",Advance Science Institute,Private for-profit,< 2-year
"2818 S International, Weslaco, TX 78596",Advanced Barber College and Hair Design,Private for-profit,< 2-year
"2 Executive Park West Suite 100, Atlanta, GA 30329",Advanced Career Training-Atlanta Campus,Private for-profit,< 2-year
"3563 Phillips Highway\nBuilding C\nSuite 300, Jacksonville, FL 32207",Advanced Career Training-Jacksonville Campus,Private for-profit,< 2-year
"1564 Southlake Parkway, Morrow, GA 30260",Advanced Career Training-Riverdale Campus,Private for-profit,< 2-year
"13180 Paramount Blvd., South Gate, CA 90280",Advanced College,Private for-profit,2-year
"11010 W Hampton Avenue, Milwaukee, WI 53225",Advanced Institute of Hair Design,Private for-profit,2-year
"4111 S. 108th Street, Greenfield, WI 53228",Advanced Institute of Hair Design,Private for-profit,2-year
"Barbosa St #24, Bayamon, PR 00961",Advanced Tech College,Private for-profit,< 2-year
"5600 NW 36 Street, Miami, FL 33166",Advanced Technical Centers,Private not-for-profit,< 2-year
"5700 Southern Blvd Ste 100, Virginia Beach, VA 23462",Advanced Technology Institute,Private for-profit,2-year
"1810 Gillespie Way\nSuite 104, El Cajon, CA 92020",Advanced Training Associates,Private for-profit,2-year
"836 W. Wellington Ave., Chicago, IL 60657",Advocate Illinois Masonic School of Radiologic Technology,Private not-for-profit,2-year
"2320 E 93rd St, Chicago, IL 60617",Advocate Trinity Hospital School of Radiologic Technology,Private not-for-profit,2-year
"15958C Shady Grove Rd, Gaithersburg, MD 20877",Aesthetics Institute of Cosmetology,Private for-profit,< 2-year
"500 S. Oakwood Road, Oshkosh, WI 54903",Affinity Health System Program in Radiologic Technology,Private not-for-profit,2-year
"141 E. College Ave, Decatur, GA 30030",Agnes Scott College,Private not-for-profit,4-year
"Barrio Caimital Alto Careterra 433, Aguadilla, PR 00603",Aguadilla Technical College,Private for-profit,< 2-year
"1501 Biscayne Boulevard, Miami, FL 33132",AI Miami International University of Art and Design,Private for-profit,4-year
"2500 Fleur Drive, Des Moines, IA 50321",AIB College of Business,Private not-for-profit,4-year
"1213 Bakers Way, Manhattan, KS 66502",AIB International,Private not-for-profit,< 2-year
"2276 Jefferson Davis Highway, Graniteville, SC 29829",Aiken Technical College,Public,2-year
"541 West St, Brockton, MA 02301",Ailano School of Cosmetology,Private for-profit,< 2-year
"1711 S. Interstate 35E, Carrollton, TX 75006",Aims Academy,Private for-profit,< 2-year
"5401 W. 20th St., Greeley, CO 80632",Aims Community College,Public,2-year
,Air Force Institute of Technology-Graduate School of Engineering & Management,Public,4-year
"147 Park St, Akron, OH 44308",Akron Adult Vocational Services,Public,< 2-year
"1600 South Arlington Street\nSuite 100, Akron, OH 44306",Akron Institute-A Division of Herzing Ohio Inc,Private for-profit,4-year
"619 Sumner St, Akron, OH 44311",Akron School of Practical Nursing,Public,< 2-year
,Alabama A & M University,Public,4-year
"2800 South Alabama Avenue, Monroeville, AL 36460",Alabama Southern Community College,Public,2-year
"9480 Parkway E, Birmingham, AL 35215",Alabama State College of Barber Styling,Private for-profit,< 2-year
"915 S Jackson Street, Montgomery, AL 36101",Alabama State University,Public,4-year
"1247 Jimmie Kerr Road, Graham, NC 27253",Alamance Community College,Public,2-year
"2318 Central Ave, Alameda, CA 94501",Alameda Beauty College,Private for-profit,< 2-year
,Alamo Colleges,,
,Alamo Community Colleges,,
,Alaska Bible,,
"4101 University Dr, Anchorage, AK 99508",Alaska Pacific University,Private not-for-profit,4-year
"809 Second Avenue, Seward, AK 99664",Alaska Vocational Technical Center,Public,< 2-year
"1015 Watervliet Shaker Rd, Albany, NY 12205",Albany BOCES-Adult Practical Nursing Program,Public,< 2-year
"106 New Scotland Avenue, Albany, NY 12208",Albany College of Pharmacy,Private not-for-profit,4-year
"80 New Scotland Avenue, Albany, NY 12208",Albany Law School,Private not-for-profit,4-year
"47 New Scotland Ave, Albany, NY 12208",Albany Medical College,Private not-for-profit,4-year
"504 College Dr., Albany, GA 31705",Albany State University,Public,4-year
"1704 South Slappey Boulevard, Albany, GA 31701",Albany Technical College,Public,2-year
,Albers School of Business and Economics,,
,Alberta School of Business,,
"700 Prospect St, New Haven, CT 06511",Albertus Magnus College,Private not-for-profit,4-year
"611 E Porter St, Albion, MI 49224",Albion College,Private not-for-profit,4-year
"1621 N. 13th St., Reading, PA 19612",Albright College,Private not-for-profit,4-year
"1000 ASU Dr Ste 359, Alcorn State, MS 39096",Alcorn State University,Public,4-year
"College Hill, Philippi, WV 26416",Alderson Broaddus College,Private not-for-profit,4-year
"7500 Mercy Road, Omaha, NE 68124",Alegent Health School of Radiologic Technology,Private not-for-profit,2-year
"2305 Rapides Ave, Alexandria, LA 71301",Alexandria Academy of Beauty Culture,Private for-profit,< 2-year
"809 S Harrison St, Alexandria, IN 46001",Alexandria School of Scientific Therapeutics,Private for-profit,2-year
"1601 Jefferson Streeet, Alexandria, MN 56308",Alexandria Technical College,Public,2-year
"One Saxon Dr, Alfred, NY 14802",Alfred University,Private not-for-profit,4-year
"200 W Main St, Alhambra, CA 91801",Alhambra Beauty College,Private for-profit,< 2-year
"100 Purpose Rd, Pippa Passes, KY 41844",Alice Lloyd College,Private not-for-profit,4-year
"97 Second St, North Versailles, PA 15137",All State Career School,Private for-profit,< 2-year
"800 S College Dr, Santa Maria, CA 93454",Allan Hancock College,Public,2-year
"12401 Willowbrook Rd SE, Cumberland, MD 21502",Allegany College of Maryland,Public,2-year
"520 N Main St, Meadville, PA 16335",Allegheny College,Private not-for-profit,4-year
"2161 Woodsdale Rd, Salem, OH 44460",Allegheny Wesleyan College,Private not-for-profit,4-year
"1990 Heath St, Waterloo, IA 50703",Allen College,Private not-for-profit,4-year
"1801 N Cottonwood, Iola, KS 66749",Allen County Community College,Public,2-year
"188 Montague Street, Brooklyn, NY 11201",Allen School-Brooklyn,Private for-profit,< 2-year
"163-18 Jamaica Avenue, Jamaica, NY 11432",Allen School-Jamaica,Private for-profit,< 2-year
"1530 Harden Street, Columbia, SC 29204",Allen University,Private not-for-profit,4-year
"1000 S Fremont Ave\nUnit 5, Alhambra, CA 91803",Alliant International University,Private not-for-profit,4-year
"10455 Pomerado Road, San Diego, CA 92131",Alliant International University,Private not-for-profit,4-year
"2500 Michelson Dr-Ste 250, Irvine, CA 92612",Alliant International University,Private not-for-profit,4-year
"425 University Ave-Ste 201, Sacramento, CA 95825",Alliant International University,Private not-for-profit,4-year
"5130 E Clinton Way, Fresno, CA 93727",Alliant International University,Private not-for-profit,4-year
"One Beach Street\nSuite 100, San Francisco, CA 94133",Alliant International University,Private not-for-profit,4-year
"13723 Riverport Drive, Maryland Heights, MO 63043",Allied College North,Private for-profit,2-year
"645 Gravois Bluffs Blvd, Fenton, MO 63026",Allied College South,Private for-profit,2-year
"5424 Hwy 290 W Ste 105, Austin, TX 78735",Allied Health Careers,Private for-profit,2-year
"166 Slocum Street, Forty Fort, PA 18704",Allied Medical and Technical Institute,Private for-profit,2-year
"517 Ash Street, Scranton, PA 18509",Allied Medical and Technical Institute,Private for-profit,2-year
"2200 Broening Hwy Ste 160, Baltimore, MD 21224",All-State Career School,Private for-profit,< 2-year
"501 Seminole St, Lester, PA 19029",All-State Career School,Private for-profit,2-year
"614 W Superior, Alma, MI 48801",Alma College,Private not-for-profit,4-year
"665 Johnson St, Alpena, MI 49707",Alpena Community College,Public,2-year
"10020 E Knox Ave Ste 500, Spokane Valley, WA 99206",Alpine College,Private for-profit,< 2-year
"1777 W Cherry St, Jesup, GA 31545",Altamaha Technical College,Public,2-year
"1500 Fourth Avenue, Altoona, PA 16602",Altoona Area Vocational Technical School,Public,< 2-year
"1528 Valley View Blvd., Altoona, PA 16602",Altoona Beauty School Inc,Private for-profit,< 2-year
"3048 Godfrey Rd, Godfrey, IL 62035",Alvareitas College of Cosmetology,Private for-profit,< 2-year
"333 South Kansas St, Edwardsville, IL 62025",Alvareitas College of Cosmetology,Private for-profit,< 2-year
"5400 West Main, Belleville, IL 62226",Alvareitas College of Cosmetology,Private for-profit,< 2-year
"400 Saint Bernardine St, Reading, PA 19607",Alvernia College,Private not-for-profit,4-year
"3400 S 43rd St, Milwaukee, WI 53234",Alverno College,Private not-for-profit,4-year
"3110 Mustang Rd, Alvin, TX 77511",Alvin Community College,Public,2-year
"2011 S. Washington, Amarillo, TX 79109",Amarillo College,Public,2-year
"1700 Eastgate Dr, Garland, TX 75041",Amberton University,Private not-for-profit,4-year
"619 West 54th Street - 6th Floor, New York, NY 10019",American Academy McAllister Institute of Funeral Service,Private not-for-profit,2-year
"1925 W County Rd B-2, Roseville, MN 55113",American Academy of Acupuncture and Oriental Medicine,Private for-profit,4-year
"332 S Michigan Ave, Chicago, IL 60604",American Academy of Art,Private for-profit,4-year
"120 Madison Ave, New York, NY 10016",American Academy of Dramatic Arts,Private not-for-profit,2-year
"1336 N La Brea, Los Angeles, CA 90028",American Academy of Dramatic Arts-West,Private not-for-profit,2-year
"6801 W 20th St, Hialeah, FL 33014",American Advanced Technicians Institute,Private for-profit,< 2-year
"17522 Studebaker Rd, Cerritos, CA 90703",American Auto Institute,Private for-profit,< 2-year
"1800 Baptist World Ctr Dr, Nashville, TN 37207",American Baptist College,Private not-for-profit,4-year
"2606 Dwight Way, Berkeley, CA 94704",American Baptist Seminary of the West,Private not-for-profit,4-year
"252 West 29th Street, New York, NY 10001",American Barber Institute Inc,Private for-profit,< 2-year
"11600 Veirs Mill Road, Wheaton, MD 20902",American Beauty Academy,Private for-profit,< 2-year
"6912 Frankford Ave, Philadelphia, PA 19135",American Beauty Academy,Private for-profit,< 2-year
"16512 Bellflower Blvd, Bellflower, CA 90706",American Beauty College,Private for-profit,< 2-year
"2009 North Main, McAlester, OK 74501",American Beauty Institute,Private for-profit,< 2-year
"1380 Metropolitan Avenue, Bronx, NY 10462",American Beauty School,Private for-profit,< 2-year
"4511 SE 29th St, Oklahoma City, OK 73115",American Broadcasting School,Private for-profit,< 2-year
"6808 S. Memorial #116, Tulsa, OK 74133",American Broadcasting School,Private for-profit,< 2-year
"712 N Watson Road, Arlington, TX 76011",American Broadcasting School,Private for-profit,< 2-year
"1200 N. Magnolia Ave., Anaheim, CA 92801",American Career College,Private for-profit,2-year
"3299 Horseless Carriage Rd Ste C, Norco, CA 92860",American Career College,Private for-profit,2-year
"4021 Rosewood Avenue, Los Angeles, CA 90004",American Career College,Private for-profit,2-year
"7000 W Cermak Rd, Berwyn, IL 60402",American Career College,Private for-profit,< 2-year
"270 Bryn Mawr Ave, Bryn Mawr, PA 19010",American College,Private not-for-profit,4-year
"9100 Park West Drive, Houston, TX 70063",American College of Acupuncture and Oriental Med,Private for-profit,4-year
"125 Winchester Drive, Sedalia, MO 65301",American College of Hair Design Inc,Private for-profit,< 2-year
"1531 First Ave SE, Cedar Rapids, IA 52402",American College of Hairstyling-Cedar Rapids,Private for-profit,2-year
"603 E Sixth St, Des Moines, IA 50309",American College of Hairstyling-Des Moines,Private for-profit,2-year
"3705 La Sierra Ave.\nSuite 202, Riverside, CA 92505",American College of Health Professions,Private for-profit,< 2-year
"455 Arkansas St, San Francisco, CA 94107",American College of Traditional Chinese Medicine,Private not-for-profit,4-year
"2007 34th St, Lubbock, TX 79411",American Commercial College,Private for-profit,< 2-year
"3014 Knight Street, Shreveport, LA 71105",American Commercial College,Private for-profit,< 2-year
"3177 Executive Dr, San Angelo, TX 76904",American Commercial College,Private for-profit,< 2-year
"402 Butternut St, Abilene, TX 79602",American Commercial College,Private for-profit,< 2-year
"4317 Barnett Rd, Wichita Falls, TX 76310",American Commercial College,Private for-profit,< 2-year
"5119 Twin Towers, Odessa, TX 79762",American Commercial College-Odessa,Private for-profit,< 2-year
"30 Grant Ave, San Francisco, CA 94108",American Conservatory Theater,Private not-for-profit,4-year
"45 Santa Cruz Street, Bayamon, PR 00961",American Educational College,Private for-profit,< 2-year
"2021 N Western Ave, Los Angeles, CA 90027",American Film Institute Conservatory,Private not-for-profit,4-year
"10020 N 15th Ave, Phoenix, AZ 85021",American Indian College of the Assemblies of God Inc,Private not-for-profit,4-year
"1845 E. Franklin Ave, Minneapolis, MN 55404",American Indian OIC Inc,Private not-for-profit,< 2-year
"416 E. Atlantic Blvd., Pompano Beach, FL 33060",American Institute,Private for-profit,< 2-year
"6685 Doubletree Ave, Columbus, OH 43229",American Institute of Alternative Medicine,Private for-profit,2-year
"13244 66th St N, Largo, FL 33773",American Institute of Beauty,Private for-profit,< 2-year
"1570 E Warner Ave.\nSte. 200, Santa Ana, CA 92705",American Institute of Massage Therapy,Private for-profit,< 2-year
"7040 S Yale Ave Ste 100, Tulsa, OK 74136",American Institute of Medical Technology,Private for-profit,2-year
"440 S 54th Avenue, Phoenix, AZ 85043",American Institute of Technology,Private for-profit,< 2-year
"12655 West Jefferson Blvd, Los Angeles, CA 90066",American Intercontinental University,Private for-profit,4-year
"2250 North Commerce Pkwy, Weston, FL 33326",American InterContinental University,Private for-profit,4-year
"3330 Peachtree Rd.\nNE, Atlanta, GA 30326",American InterContinental University,Private for-profit,4-year
"9999 Richmond Avenue, Houston, TX 77042",American Intercontinental University,Private for-profit,4-year
"5550 Prairie Stone Pky-Ste 400, Hoffman Estates, IL 60192",American Intercontinental University Online,Private for-profit,4-year
"6600 Peachtree Dunwoody Road\n500 Embassy Row, Atlanta, GA 30328",American Intercontinental University-Dunwoody Campus,Private for-profit,4-year
"1000 State Street, Springfield, MA 01109",American International College,Private not-for-profit,4-year
"15600 Mulholland Dr, Los Angeles, CA 90077",American Jewish University,Private not-for-profit,4-year
"15600 Mulholland Dr.\n, Bel-Air, CA 90077",American Jewish University,,
"225. W Broadway Suite 115, Glendale, CA 91204",American Medical Sciences Center,Private for-profit,2-year
"2109 Broadway, New York, NY 10023",American Musical and Dramatic Academy,Private not-for-profit,4-year
"14435 Sherman Way Ste 208, Van Nuys, CA 91405",American Pacific College,Private for-profit,< 2-year
"1990 Riverside Dr, Macon, GA 31211",American Professional Institute,Private for-profit,< 2-year
"111 W Congress St, Charles Town, WV 25414",American Public University System,Private for-profit,4-year
"4700 College Oak Dr, Sacramento, CA 95841",American River College,Public,2-year
"American Samoa Community College, Pago Pago, AS 96799",American Samoa Community College,Public,2-year
"702 Professional Dr N, Shreveport, LA 71105",American School of Business,Private for-profit,< 2-year
"2100 Morse Rd Bldg 4599, Columbus, OH 43229",American School of Technology,Private for-profit,< 2-year
"Arzuaga #112 Medina Ctr 1105, San Juan, PR 00925",American Technological College,Private for-profit,< 2-year
"4400 Massachusetts Ave NW, Washington, DC 20016",American University,Private not-for-profit,4-year
"3501 Atlantic Ave., Long Beach, CA 90807",American University of Health Sciences,Private for-profit,4-year
"Carr. #2\nKm.14.4\nBo. Hato Tejas, Bayamon, PR 00960",American University of Puerto Rico,Private not-for-profit,4-year
"Carretera Estatal #2 Km.48.1, Manati, PR 00674",American University of Puerto Rico,Private not-for-profit,4-year
"11141 Georgia Ave #418, Wheaton, MD 20902",Americare School of Allied Health,Private for-profit,< 2-year
"7275 Estapona Circle, Fern Park, FL 32730",Americare School of Nursing,Private for-profit,2-year
"12257 South Business Park Drive-Ste 108, Draper, UT 84020",AmeriTech College,Private for-profit,2-year
"1675 N Freedom Blvd Bldg Ste 5B, Provo, UT 84604",AmeriTech College,Private for-profit,< 2-year
"3863 SW Loop 820, Fort Worth, TX 76133",Amesed,Private for-profit,< 2-year
"Boltwood Avenue, Amherst, MA 01002",Amherst College,Private not-for-profit,4-year
"1200 Taylor Rd, Montgomery, AL 36117",Amridge University,Private not-for-profit,4-year
"10130-B Colvin Run Rd, Great Falls, VA 22066",Ana Visage Academy,Private for-profit,< 2-year
"3210 Dyer, El Paso, TX 79930",Anamarc Educational Institute,Private for-profit,2-year
"9601 S. Union Road, Donaldson, IN 46513",Ancilla College,Private not-for-profit,2-year
"1100 E 5th St, Anderson, IN 46012",Anderson University,Private not-for-profit,4-year
"316 Boulevard, Anderson, SC 29621",Anderson University,Private not-for-profit,4-year
"901 Washington Ave, Portland, ME 04103",Andover College,Private for-profit,2-year
"210 Herrick Rd, Newton Centre, MA 02459",Andover Newton Theological School,Private not-for-profit,4-year
,Andreas School of Business,,
"413 College St, Cuthbert, GA 39840",Andrew College,Private not-for-profit,2-year
,Andrew Jackson,,
"100 W Main St, Sullivan, MO 63080",Andrews Academy of Cosmetology,Private for-profit,< 2-year
"Andrews University, Berrien Springs, MI 49104",Andrews University,Private not-for-profit,4-year
"3500 South First, Lufkin, TX 75902",Angelina College,Public,2-year
"2601 W Avenue N, San Angelo, TX 76909",Angelo State University,Public,4-year
"230 N Woodland Blvd Suite 310, Deland, FL 32720",Angley College,Private for-profit,4-year
"180 Jackson Plaza #100, Ann Arbor, MI 48103",Ann Arbor Institute of Massage Therapy,Private for-profit,< 2-year
"50 Sunset Lane, Paxton, MA 01612",Anna Maria College,Private not-for-profit,4-year
"101 College Pky, Arnold, MD 21012",Anne Arundel Community College,Public,2-year
"1355 W Hwy 10, Anoka, MN 55303",Anoka Technical College,Public,2-year
"11200 Mississippi Blvd. NW, Coon Rapids, MN 55433",Anoka-Ramsey Community College,Public,2-year
"300 Spirit River Drive South, Cambridge, MN 55008",Anoka-Ramsey Community College-Cambridge Campus,Public,2-year
"1217 East Caswell Street, Wadesboro, NC 28170",Anson College of Cosmetology,Private for-profit,< 2-year
"3041 W Ave K, Lancaster, CA 93536",Antelope Valley College,Public,2-year
"44201 10th St West, Lancaster, CA 93534",Antelope Valley Medical College,Private for-profit,4-year
"1515 E Indian School Road, Phoenix, AZ 85014",Anthem College,Private for-profit,4-year
"Ave.Fernandez Juncos 1851\/1905, Santurce, PR 00919",Antilles School of Technical Careers,Private for-profit,< 2-year
"795 Livermore St, Yellow Springs, OH 45387",Antioch College,Private not-for-profit,4-year
"900 Dayton St, Yellow Springs, OH 45387",Antioch University McGregor,Private not-for-profit,4-year
"40 Avon St, Keene, NH 03431",Antioch University New England,Private not-for-profit,4-year
"150 E South College St, Yellow Springs, OH 45387",Antioch University PhD Program in Leadership and Change,Private not-for-profit,4-year
"2326 6th Ave, Seattle, WA 98121",Antioch University Seattle,Private not-for-profit,4-year
"400 Corporate Pointe, Culver City, CA 90230",Antioch University-Los Angeles Branch,Private not-for-profit,4-year
"801 Garden St\nSuite 101, Santa Barbara, CA 93101",Antioch University-Santa Barbara,Private not-for-profit,4-year
"124 E Seventh St, Cincinnati, OH 45202",Antonelli College,Private for-profit,2-year
"1500 N 31st Ave, Hattiesburg, MS 39401",Antonelli College,Private for-profit,2-year
"2323 Lakeland Drive, Jackson, MS 39232",Antonelli College,Private for-profit,2-year
"300 Montgomery Ave, Erdenheim, PA 19038",Antonelli Institute,Private for-profit,2-year
"1700 Industrial Hwy\nLower Level, Pottstown, PA 19464",Antonelli Medical and Professional Institute,Private for-profit,< 2-year
"333 Jackson St, Anderson, IN 46016",Apex Academy of Hair Design Inc,Private for-profit,< 2-year
"2945 South Miami Blvd Ste 114, Durham, NC 27703",Apex School of Theology,Private not-for-profit,4-year
"635 Ave of the Americas, New York, NY 10011",Apex Technical School,Private for-profit,< 2-year
"3325 Shawnee Rd, Lima, OH 45806",Apollo Career Center,Public,< 2-year
"1200 North Liberty Street, Boise, ID 83704",Apollo College,Private for-profit,2-year
"3550 N Oracle Rd, Tucson, AZ 85705",Apollo College,Private for-profit,2-year
"630 W Southern Ave, Mesa, AZ 85210",Apollo College Mesa - Tri City Inc,Private for-profit,2-year
"1001 Menaul Blvd NE, Albuquerque, NM 87107",Apollo College-New Mexico,Private for-profit,2-year
"8503 N 27th Ave, Phoenix, AZ 85051",Apollo College-Phoenix Inc,Private for-profit,2-year
"2004 Lloyd Center\n3rd Floor, Portland, OR 97232",Apollo College-Portland Inc,Private for-profit,2-year
"10102 E. Knox\nSuite 200, Spokane, WA 99206",Apollo College-Spokane,Private for-profit,2-year
"2701 W Bethany Home Rd, Phoenix, AZ 85017",Apollo College-Westside,Private for-profit,2-year
"6944 Hudson Blvd N, Saint Paul, MN 55128",Apostolic Bible Institute Inc,Private not-for-profit,4-year
"609A Central Avenue, South Williamson, KY 41503",Appalachian Beauty School,Private for-profit,2-year
"161 College Drive, Mount Hope, WV 25880",Appalachian Bible College,Private not-for-profit,4-year
"1169 Edgewater Drive, Grundy, VA 24614",Appalachian School of Law,Private not-for-profit,4-year
"Appalachian State University, Boone, NC 28608",Appalachian State University,Public,4-year
"100 Campus Drive, Jasper, GA 30143",Appalachian Technical College,Public,2-year
"1607 Robinson Rd SE, Grand Rapids, MI 49506",Aquinas College,Private not-for-profit,4-year
"4210 Harding Pike, Nashville, TN 32705",Aquinas College,Private not-for-profit,4-year
"23 S. Spring Ave., Saint Louis, MO 63108",Aquinas Institute of Theology,Private not-for-profit,4-year
"5900 S. Santa Fe Dr., Littleton, CO 80160",Arapahoe Community College,Public,2-year
"450 S Easton Rd, Glenside, PA 19038",Arcadia University,Private not-for-profit,4-year
